rank,ticker,company_name,exchange,country,market_cap_usd,thesis_path,rationale,reason,thesis_data_path
1,LS:A2DSW0,Econocom Group SE Class D,LS,de,227498872.01,,"Extremely cheap clean earnings, buybacks, and limited downside.","Extremely cheap clean earnings, buybacks, and limited downside.",./data/theses/001-LS-A2DSW0.json
2,F:XUPB,GENFIT S.A. ADR/1 EO-25,F,Germany,200590000.0,,Iqirvo royalty ramp gives strong upside with modest downside.,Iqirvo royalty ramp gives strong upside with modest downside.,./data/theses/002-F-XUPB.json
3,RNE1.F,Gaming Realms PLC             R,Frankfurt,de,96467640.0,,Debt-free high-margin licensor still priced like gambling cyclic.,Debt-free high-margin licensor still priced like gambling cyclic.,./data/theses/003-RNE1.F.json
4,MYX:LIIHEN,Lii Hen Industries Bhd.,MYX,my,42411951.11,,Net-cash-backed tariff recovery with large normalization torque.,Net-cash-backed tariff recovery with large normalization torque.,./data/theses/004-MYX-LIIHEN.json
5,SG9.F,Strix Group PLC               R,Frankfurt,de,98760528.0,,Deleveraged controls franchise with buybacks and doubled base target.,Deleveraged controls franchise with buybacks and doubled base target.,./data/theses/005-SG9.F.json
6,STG,Sunlands Technology Group,NYSE,us,42290628.0,,Profitable cash-rich education ADR at distressed valuation.,Profitable cash-rich education ADR at distressed valuation.,./data/theses/006-STG.json
7,TSE:6337,Tesec Corporation,TSE,jp,85947201.99,,Cash-backed tester cycle recovery with strong order inflection.,Cash-backed tester cycle recovery with strong order inflection.,./data/theses/007-TSE-6337.json
8,TLF,"Tandy Leather Factory, Inc.",NasdaqCM,us,19137386.0,,"Cash, inventory, book support, and post-relocation profit recovery.","Cash, inventory, book support, and post-relocation profit recovery.",./data/theses/008-TLF.json
9,WEBJF,WEBJET LTD,OTC Markets OTCPK,us,336574560.0,,High-margin B2B travel marketplace priced like stale OTA.,High-margin B2B travel marketplace priced like stale OTA.,./data/theses/009-WEBJF.json
10,LS:A2E4T7,H&R GmbH & Co. KGaA,LS,de,204334308.81,,Specialty hydrocarbon cash flow at about 3x EBITDA.,Specialty hydrocarbon cash flow at about 3x EBITDA.,./data/theses/010-LS-A2E4T7.json
11,DDI.F,DoubleDown Interactive Co. LtdR,Frankfurt,de,480668352.0,,Cash-rich profitable gaming asset underpins control-transaction upside.,Cash-rich profitable gaming asset underpins control-transaction upside.,./data/theses/011-DDI.F.json
12,SBC,SBC Medical Group Holdings Inco,NasdaqGM,us,304653536.0,,Net-cash aesthetic MSO at very low cash-adjusted earnings.,Net-cash aesthetic MSO at very low cash-adjusted earnings.,./data/theses/012-SBC.json
13,HKEX:1568,Sundart Holdings Ltd.,HKEX,hk,192960679.36,,Cash-rich contractor with earnings rerating and float repair.,Cash-rich contractor with earnings rerating and float repair.,./data/theses/013-HKEX-1568.json
14,3700.HK,INKEVERSE,HKSE,hk,197968370.93,,Profitable cash pile deeply discounted for governance risk.,Profitable cash pile deeply discounted for governance risk.,./data/theses/014-3700.HK.json
15,SFRL.XC,Severfield PLC,Cboe UK,gb,105397921.16,,UK steel trough priced for permanent margin impairment.,UK steel trough priced for permanent margin impairment.,./data/theses/015-SFRL.XC.json
16,OT7.F,Ontex Group N.V.              A,Frankfurt,de,210496480.0,,Levered hygiene turnaround with nearly doubled base value.,Levered hygiene turnaround with nearly doubled base value.,./data/theses/016-OT7.F.json
17,TASK,"TaskUs, Inc.",NasdaqGS,us,502764352.0,,AI operations cash flow priced like a melting BPO.,AI operations cash flow priced like a melting BPO.,./data/theses/017-TASK.json
18,BMV:AXTEL/CPO,Axtel SAB de CV Cert.Part.Ord. Repr.7 Shs B,BMV,mx,427085994.81,,Levered Mexican infrastructure stub with large EBITDA torque.,Levered Mexican infrastructure stub with large EBITDA torque.,./data/theses/018-BMV-AXTEL-CPO.json
19,18WA.F,Gaotu Techedu Inc.            R,Frankfurt,de,388679616.0,,Cash-rich China education survivor with profit conversion ahead.,Cash-rich China education survivor with profit conversion ahead.,./data/theses/019-18WA.F.json
20,PSE:BC,Benguet Corp. Class A,PSE,ph,77539739.35,,Cheap gold and nickel earnings with share-class simplification.,Cheap gold and nickel earnings with share-class simplification.,./data/theses/020-PSE-BC.json
21,200726.SZ,LU THAI TEXTILE CO LTD,Shenzhen,cn,465707593.93,,Deep book discount with overseas textile repositioning.,Deep book discount with overseas textile repositioning.,./data/theses/021-200726.SZ.json
22,0951.HK,CHAOWEI POWER,HKSE,hk,259486015.65,,Policy-supported battery leader priced below recovery earnings.,Policy-supported battery leader priced below recovery earnings.,./data/theses/022-0951.HK.json
23,KRX:098070,"Hantech, Ltd.",KRX,kr,269162839.71,,Net-cash equipment exporter with visible LNG order cycle.,Net-cash equipment exporter with visible LNG order cycle.,./data/theses/023-KRX-098070.json
24,IDX:BSSR,PT Baramulti Suksessarana Tbk,IDX,id,598364866.91,,Debt-free coal cash generator with high dividend support.,Debt-free coal cash generator with high dividend support.,./data/theses/024-IDX-BSSR.json
25,TSE:9612,"Luckland Co., Ltd.",TSE,jp,97567724.39,,Governance-stained contractor at low earnings and net-cash EV.,Governance-stained contractor at low earnings and net-cash EV.,./data/theses/025-TSE-9612.json
26,QTRH.TO,QUARTERHILL INC,Toronto,ca,215965088.0,,ITS backlog and refinancing remove key distress overhang.,ITS backlog and refinancing remove key distress overhang.,./data/theses/026-QTRH.TO.json
27,TSE:3668,"COLOPL, Inc.",TSE,jp,308600514.94,,"Liquid assets exceed market cap, cost reset adds optionality.","Liquid assets exceed market cap, cost reset adds optionality.",./data/theses/027-TSE-3668.json
28,KRX:029460,"KC CO., LTD.",KRX,kr,268617532.77,,Cheap fab utility supplier behind Korean AI memory capex.,Cheap fab utility supplier behind Korean AI memory capex.,./data/theses/028-KRX-029460.json
29,6840.TWO,BTL,Taipei Exchange,tw,60391069.11,,Scarce AI server testing capacity with expanding utilization.,Scarce AI server testing capacity with expanding utilization.,./data/theses/029-6840.TWO.json
30,PRIUA.PR,PRIMOCO UAV SE,Prague,cz,182524636.85,,Certified UAV backlog supports high-margin defense growth.,Certified UAV backlog supports high-margin defense growth.,./data/theses/030-PRIUA.PR.json
31,KRX:120240,"Daejung Chemicals & Metals Co., Ltd",KRX,kr,63793200.02,,Cash-rich specialty chemical inflection at low earnings multiple.,Cash-rich specialty chemical inflection at low earnings multiple.,./data/theses/031-KRX-120240.json
32,PAR.AX,PARA BIO FPO [PAR],ASX,au,89327632.0,,"Binary Phase 3 catalyst, huge upside but high dilution risk.","Binary Phase 3 catalyst, huge upside but high dilution risk.",./data/theses/032-PAR.AX.json
33,JSE:DRD,DRDGOLD Ltd.,JSE,za,22878147.23,,Debt-free gold tailings platform funding growth internally.,Debt-free gold tailings platform funding growth internally.,./data/theses/033-JSE-DRD.json
34,TSE:5632,"Mitsubishi Steel Mfg.Co., Ltd.",TSE,jp,206621543.18,,Japanese industrial recovery with 5% yield and ROE target.,Japanese industrial recovery with 5% yield and ROE target.,./data/theses/034-TSE-5632.json
35,SWTQ.SW,SCHWEITER N,Swiss,ch,398042624.0,,Swiss composites cleanup with dividend and margin recovery.,Swiss composites cleanup with dividend and margin recovery.,./data/theses/035-SWTQ.SW.json
36,TSE:7717,"V-Technology Co., Ltd.",TSE,jp,321034201.54,,AI packaging orders re-label a display equipment stock.,AI packaging orders re-label a display equipment stock.,./data/theses/036-TSE-7717.json
37,LS:540740,CeoTronics AG,LS,de,100608522.05,,Defense communications backlog can lift earnings year.,Defense communications backlog can lift earnings year.,./data/theses/037-LS-540740.json
38,NTU.JO,Nutun Limited,COMPANIESMARKETCAP,South Africa,47037500.0,,Credit-recovery platform trades far below collectible book value.,Credit-recovery platform trades far below collectible book value.,./data/theses/038-NTU.JO.json
39,ERDLF,EROAD LIMITED,OTC Markets OTCPK,us,107046816.0,,Regulatory telematics ARR plus New Zealand RUC option.,Regulatory telematics ARR plus New Zealand RUC option.,./data/theses/039-ERDLF.json
40,002310.KS,AsiaPaprMfg,KSE,kr,214807148.35,,Low-PBR packaging recovery with buybacks and margin rebound.,Low-PBR packaging recovery with buybacks and margin rebound.,./data/theses/040-002310.KS.json
41,SAPSE:1832,HOKKAIDENKO CORPORATION,SAPSE,jp,205057253.04,,Net-cash Hokkaido grid contractor with demand reversal.,Net-cash Hokkaido grid contractor with demand reversal.,./data/theses/041-SAPSE-1832.json
42,TSE:5121,FUJIKURA COMPOSITES Inc.,TSE,jp,304974178.82,,Premium golf-shaft core plus industrial margin improvement.,Premium golf-shaft core plus industrial margin improvement.,./data/theses/042-TSE-5121.json
43,TSE:9768,"Idea Consultants,Inc.",TSE,jp,150000433.62,,Low-risk infrastructure consultant with PBR reform catalyst.,Low-risk infrastructure consultant with PBR reform catalyst.,./data/theses/043-TSE-9768.json
44,TSE:5997,Kyoritsu Air Tech Inc.,TSE,jp,24758544.13,,Asset-backed HVAC microcap with improving margins.,Asset-backed HVAC microcap with improving margins.,./data/theses/044-TSE-5997.json
45,TSE:6333,TEIKOKU Corp.,TSE,jp,254976934.47,,"Niche pump franchise with dividends, buybacks, and activist pressure.","Niche pump franchise with dividends, buybacks, and activist pressure.",./data/theses/045-TSE-6333.json
46,MYX:HSSEB,HSS Engineers Bhd.,MYX,my,57328006.38,,"Huge backlog option, but cash collection is key.","Huge backlog option, but cash collection is key.",./data/theses/046-MYX-HSSEB.json
47,TWSE:6591,Sun Max Tech Limited,TWSE,tw,66843551.02,,Book-value thermal recovery with server and auto optionality.,Book-value thermal recovery with server and auto optionality.,./data/theses/047-TWSE-6591.json
48,LSIN:0AAT,Bike24 Holding AG,LSIN,gb,125248960.66,,Bike bust survivor now converting growth into cash.,Bike bust survivor now converting growth into cash.,./data/theses/048-LSIN-0AAT.json
49,KRX:411080,SANDS LAB Inc.,KRX,kr,67991626.53,,AI cyber platform has large upside but lumpy losses.,AI cyber platform has large upside but lumpy losses.,./data/theses/049-KRX-411080.json
50,S30.PA,SOLUTIONS 30 SE,Paris,fr,71308328.0,,"Distressed field-service pivot, high torque but fragile.","Distressed field-service pivot, high torque but fragile.",./data/theses/050-S30.PA.json
51,ENW.L,ENWELL ENERGY PLC ORD 5P,LSE,gb,52333858.6,,"Cash-backed Ukraine license option, but political path is severe.","Cash-backed Ukraine license option, but political path is severe.",./data/theses/051-ENW.L.json
52,GXI.SW,GERRESHEIMER AG,Swiss,ch,782676416.0,,Pharma-packaging asset cheap if audit and Centor sale clear.,Pharma-packaging asset cheap if audit and Centor sale clear.,./data/theses/052-GXI.SW.json
53,OCHL.OM,Oman Chlorine,COMPANIESMARKETCAP,Oman,35670817.0,,Levered chlor-alkali recovery with new flaking capacity.,Levered chlor-alkali recovery with new flaking capacity.,./data/theses/053-OCHL.OM.json
54,SCAP-R.BK,SCAP_SRISAWAD CAPITAL 1969,Thailand,th,238421038.44,,"Thai lender inflection visible, credit quality still decisive.","Thai lender inflection visible, credit quality still decisive.",./data/theses/054-SCAP-R.BK.json
55,PGGCY,Piaggio & C Spa Pontedera,OTC Markets OTCPK,us,699136960.0,,Branded mobility recovery with India commercial vehicle torque.,Branded mobility recovery with India commercial vehicle torque.,./data/theses/055-PGGCY.json
56,7743.TWO,KFS,Taipei Exchange,tw,707776704.0,,HPP food-tech margin recovery option near book.,HPP food-tech margin recovery option near book.,./data/theses/056-7743.TWO.json
57,HOSE:PDN,Dong Nai Port JSC,HOSE,vn,221419768.6,,"Quality Vietnam port compounder, but upside is less explosive.","Quality Vietnam port compounder, but upside is less explosive.",./data/theses/057-HOSE-PDN.json
58,TWSE:8103,Cvilux Corporation,TWSE,tw,255987876.26,,"AI power connector transition credible, valuation already higher.","AI power connector transition credible, valuation already higher.",./data/theses/058-TWSE-8103.json
59,KRX:065710,"Seoho Electric Co., Ltd",KRX,kr,127778217.22,,"Port automation niche, high margin but project-cycle risk.","Port automation niche, high margin but project-cycle risk.",./data/theses/059-KRX-065710.json
60,MOTHER.BK,MOTHER_MOTHER MARKETING,Thailand,th,328900000.0,,Regional grocer has cheap forward earnings and rollout growth.,Regional grocer has cheap forward earnings and rollout growth.,./data/theses/060-MOTHER.BK.json
61,KQ:097800,Winpac Inc,KQ,Korea,37640000.0,,OSAT utilization recovery offers torque with balance-sheet stress.,OSAT utilization recovery offers torque with balance-sheet stress.,./data/theses/061-KQ-097800.json
62,ORXGF,Orca Energy Group Inc.,OTC Markets OTCPK,us,50795812.0,,Cash-return stub has event value but capped compounding.,Cash-return stub has event value but capped compounding.,./data/theses/062-ORXGF.json
63,JUKIY,Juki Corp.,OTC Markets OTCPK,us,125553328.0,,Machinery turnaround with debt reduction and SMT optionality.,Machinery turnaround with debt reduction and SMT optionality.,./data/theses/063-JUKIY.json
64,3SJ.F,NUIX Ltd.                     R,Frankfurt,de,286245536.0,,"Forensic software turnaround cheap on ACV, legal scar remains.","Forensic software turnaround cheap on ACV, legal scar remains.",./data/theses/064-3SJ.F.json
65,KRX:032850,"BIT Computer Co., Ltd.",KRX,kr,50521297.46,,Net-cash healthcare software with buybacks and exports.,Net-cash healthcare software with buybacks and exports.,./data/theses/065-KRX-032850.json
66,145720.KS,DENTIUM,KSE,kr,297681312.19,,"Buyback-driven implant recovery, still tied to China VBP.","Buyback-driven implant recovery, still tied to China VBP.",./data/theses/066-145720.KS.json
67,SA:POMO3,Marcopolo S.A,SA,Brazil,526480000.0,,"High-ROE bus maker cheap, but cyclical and less mispriced.","High-ROE bus maker cheap, but cyclical and less mispriced.",./data/theses/067-SA-POMO3.json
68,0045.KL,SSB8,Kuala Lumpur,my,313798157.31,,"Technical-contractor transition promising, receivables and valuation matter.","Technical-contractor transition promising, receivables and valuation matter.",./data/theses/068-0045.KL.json
69,6826.HK,HAOHAI BIOTEC,HKSE,hk,620807937.55,,Cash-rich biomaterials reset with China governance discount.,Cash-rich biomaterials reset with China governance discount.,./data/theses/069-6826.HK.json
70,LSIN:0R8W,Alimak Group AB,LSIN,gb,95691911.12,,"Quality vertical-access industrial, but base upside is moderate.","Quality vertical-access industrial, but base upside is moderate.",./data/theses/070-LSIN-0R8W.json
71,LSIN:0AAE,AutoStore Holdings Ltd.,LSIN,gb,377411281.37,,"Strong robotics franchise, valuation already prices recovery.","Strong robotics franchise, valuation already prices recovery.",./data/theses/071-LSIN-0AAE.json
72,TPEX:3071,ADDA Corp.,TPEX,tw,100392791.94,,"Revenue inflection clear, parent EPS leakage caps confidence.","Revenue inflection clear, parent EPS leakage caps confidence.",./data/theses/072-TPEX-3071.json
73,0176.KL,KRONO,Kuala Lumpur,my,115753728.0,,"Hammerspace option after write-down, but turnaround is unproven.","Hammerspace option after write-down, but turnaround is unproven.",./data/theses/073-0176.KL.json
74,MYX:ELSOFT,Elsoft Research Bhd.,MYX,my,44775437.15,,"Net cash and medical orders, but base upside is thin.","Net cash and medical orders, but base upside is thin.",./data/theses/074-MYX-ELSOFT.json
75,HARN-R.BK,HARN_HARN ENGINEERING SOLUTIONS,Thailand,th,35087898.38,,"Net-cash Thai engineering option, but earnings growth modest.","Net-cash Thai engineering option, but earnings growth modest.",./data/theses/075-HARN-R.BK.json
76,AKR-R.BK,AKR_EKARAT ENGINEERING,Thailand,th,38318927.85,,Transformer delivery recovery possible after ugly Q1.,Transformer delivery recovery possible after ugly Q1.,./data/theses/076-AKR-R.BK.json
77,KRX:209640,"YJ Link Co., Ltd",KRX,kr,155341929.19,,"SMT automation inflection, but theme premium and dilution weigh.","SMT automation inflection, but theme premium and dilution weigh.",./data/theses/077-KRX-209640.json
78,ESENSE.HE,Enersense International Oyj,Helsinki,fi,63198776.0,,"Grid turnaround has backlog, but execution risk is high.","Grid turnaround has backlog, but execution risk is high.",./data/theses/078-ESENSE.HE.json
79,7771.TWO,GBT,Taipei Exchange,tw,38237248.64,,"Edge-AI vision option, still thinly proven and illiquid.","Edge-AI vision option, still thinly proven and illiquid.",./data/theses/079-7771.TWO.json
80,6220.TWO,YFC-BONEAGLE ELECTRIC CO,Taipei Exchange,tw,139223402.79,,"Non-China cable sourcing option, leverage limits appeal.","Non-China cable sourcing option, leverage limits appeal.",./data/theses/080-6220.TWO.json
81,PROS-R.BK,PROS_PROSPER ENGINEERING,Thailand,th,88247552.0,,"Huge data-center torque, but distressed contractor risk dominates.","Huge data-center torque, but distressed contractor risk dominates.",./data/theses/081-PROS-R.BK.json
82,BX:LPK,LPKF Laser & Electronics SE,BX,ch,632960743.72,,"Glass substrate option is real, but valuation is demanding.","Glass substrate option is real, but valuation is demanding.",./data/theses/082-BX-LPK.json
83,APCS-R.BK,APCS_ASIA PRECISION,Thailand,th,937199808.0,,"Loss cleanup could work, but crypto and EPC drag remain.","Loss cleanup could work, but crypto and EPC drag remain.",./data/theses/083-APCS-R.BK.json
84,44C1.F,Civeo Corp.                   R,Frankfurt,de,328298880.0,,"Solid lodging cash flow, but base upside is limited.","Solid lodging cash flow, but base upside is limited.",./data/theses/084-44C1.F.json
85,AICXF,,OTC Markets OTCPK,us,539070464.0,,"Itochu-backed niche industrial, quality but lower return.","Itochu-backed niche industrial, quality but lower return.",./data/theses/085-AICXF.json
86,TSE:167A,"Ryoyo Ryosan Holdings,Inc.",TSE,jp,672437331.05,,Dividend and book support offset Renesas distribution shock.,Dividend and book support offset Renesas distribution shock.,./data/theses/086-TSE-167A.json
87,LSIN:0A0H,Beijer Ref AB Class B,LSIN,gb,533580045.86,,"Excellent compounder, but valuation leaves modest upside.","Excellent compounder, but valuation leaves modest upside.",./data/theses/087-LSIN-0A0H.json
88,TSE:2305,"Studio Alice Co., Ltd.",TSE,jp,190029474.4,,"Cash-rich niche service stock, but demographics cap upside.","Cash-rich niche service stock, but demographics cap upside.",./data/theses/088-TSE-2305.json
89,OSL:MORLD,Moreld ASA,OSL,no,391696270.3,,"Dividend and backlog help, but upside is modest.","Dividend and backlog help, but upside is modest.",./data/theses/089-OSL-MORLD.json
90,SET:PRINC,Principal Capital Public Co. Ltd.,SET,th,201801734.84,,Hospital margin option remains loss-making and debt-sensitive.,Hospital margin option remains loss-making and debt-sensitive.,./data/theses/090-SET-PRINC.json
91,6625.T,JALCO HOLDINGS INC,Tokyo,jp,225981830.58,,"Asset-platform story is interesting, but earnings are too lumpy.","Asset-platform story is interesting, but earnings are too lumpy.",./data/theses/091-6625.T.json
92,LSIN:0GDU,Paradox Interactive AB,LSIN,gb,117505130.64,,"Great IP platform, but valuation already reflects quality.","Great IP platform, but valuation already reflects quality.",./data/theses/092-LSIN-0GDU.json
93,3710.TWO,ACON HOLDING INC,Taipei Exchange,tw,56248715.48,,"U.S. listing option, but parent remains distressed.","U.S. listing option, but parent remains distressed.",./data/theses/093-3710.TWO.json
94,HOSE:TCO,Janus Group JSC,HOSE,vn,18423894.77,,Platform reset needs proof after large stock move.,Platform reset needs proof after large stock move.,./data/theses/094-HOSE-TCO.json
95,NOUMF,Noumi Limited,OTC Markets OTCPK,us,19397652.0,,"Operating asset is real, but recapitalization can crush equity.","Operating asset is real, but recapitalization can crush equity.",./data/theses/095-NOUMF.json
96,CUB,Lionheart Holdings,NasdaqGM,us,331200032.0,,"Trust value protects capital, but common upside is too capped.","Trust value protects capital, but common upside is too capped.",./data/theses/096-CUB.json
97,TRDCF,,OTC Markets OTCPK,us,652935104.0,,Defense drone optionality is early and valuation already high.,Defense drone optionality is early and valuation already high.,./data/theses/097-TRDCF.json
98,BSE:STARLENT,Starlineps Enterprises Ltd.,BSE,in,45223565.13,,Solar pivot is speculative with major dilution risk.,Solar pivot is speculative with major dilution risk.,./data/theses/098-BSE-STARLENT.json
99,TPEX:6979,"Victory for Technology Co., Ltd.",TPEX,tw,91254758.83,,Materials option priced too richly for weak evidence.,Materials option priced too richly for weak evidence.,./data/theses/099-TPEX-6979.json
100,NATPLY.BO,NATIONAL PLYWOOD INDUSTRIES LT,BSE,in,76638952.0,,"Insolvency stub has extreme upside, but equity survival is uncertain.","Insolvency stub has extreme upside, but equity survival is uncertain.",./data/theses/100-NATPLY.BO.json
